Item ID,Item Name,Item Amount,Your Sell Price,Buy Price,Sell Price
75709,Recipe: Svaard's Warfists,2,5776,114,5773
71254,Recipe: Svaard's Pauldrons,3,1686,105,1685
27641,The Ugly Stick,1,3288,2123,3282
24572,Superior Sigil of Nullification,3,1639,1053,1831
49522,Dire Intricate Gossamer Insignia,1,5719,4530,4532
49430,+7 Agony Infusion,5,13706,10708,13715
38460,Toy Sword Skin,250,326,201,324
75448,Alpine Lumber Core,1,341,182,298
20448,Antique Olive Dye,1,25,3,25
49430,+7 Agony Infusion,3,13698,10708,13715
24575,Superior Sigil of Bloodlust,10,1751,1278,1689
38458,Toy Staff Skin,250,323,216,323
49433,+10 Agony Infusion,2,115483,100000,115440
2027,Zhed's Gloves,15,11912,8207,12500
24865,Superior Sigil of Celerity,4,54498,41600,58379
84,Zhed's Coat,2,14556,11106,15444
100173,Viper's Abomination Pistol,1,71384,44775,71281
86997,Plate of Beef Rendang,1,2019,1672,2429
76180,Recipe: Svaard's Reaver,4,1280,118,1275
76509,Recipe: Svaard's Footwear,3,4999,57,4995
43466,Potent Hardened Sharpening Stone,51,1484,746,1481
810,Devona's Greaves,8,10949,6736,10951
96760,Spindrift Hammer,4,3857,2546,3853
96542,Spindrift Dagger,4,4269,2338,4263
1637,Devona's Helm,18,8663,5676,8885
2387,Zhed's Mask,9,9768,6070,9993
27020,Adam,9,4951,2148,4962
93,Shiro's Mask,1,2995,1917,3063
24809,Superior Sigil of Ghost Slaying,3,529,327,529
86316,Rose Quartz,1,603,544,545
79793,Bowl of Winterberry Seaweed Salad,14,308,198,249
77303,Ghostly Infusion,1,704089,530010,688799
24612,Superior Sigil of Agony,4,1993,1240,1889
80,Nika's Mask,9,14818,9353,15776
24575,Superior Sigil of Bloodlust,77,1749,1278,1689
2693,Zhed's Mantle,11,13090,10127,16760
24639,Superior Sigil of Paralyzation,4,61830,47851,62547
24560,Superior Sigil of Earth,49,1921,1501,1922
24612,Superior Sigil of Agony,22,1992,1240,1889
12147,Mushroom,44,188,208,229
714,Nika's Gloves,5,13180,9141,15895
2128,Devona's Pauldrons,2,7996,5790,8825
66539,Bowl of Prickly Pear Sorbet,1,24094,22302,25000
96760,Spindrift Hammer,1,3854,2546,3853
24605,Superior Sigil of Geomancy,4,558,390,547
24567,Superior Sigil of Frailty,19,1564,1003,1559
99293,Jolly Wintersday Gift,2,8053,6607,7703
104787,Lightborne Sword,1,189994,136749,195000
26152,Usoku's Needle,2,9989,6489,9992
24,Sealed Package of Snowballs,1,575,396,483
24560,Superior Sigil of Earth,7,1920,1501,1922
100090,Relic of the Dragonhunter,2,118878,95001,117082
24658,Superior Sigil of Serpent Slaying,1,433,329,462
24762,Superior Rune of the Krait,14,34240,25703,34374
76179,Freshwater Pearl,2,7309,6178,7278
208,Nika's Boots,7,16964,11814,18900
576,Zhed's Boots,5,19857,13491,19999
89696,Exquisite Serpentite Jewel,1,2347,1805,3140
24865,Superior Sigil of Celerity,4,53988,41600,58379
2539,Zhed's Leggings,5,14584,10015,17303
125,Nika's Coat,4,13028,10028,15447
24732,Superior Rune of Divinity,10,5909,4014,4925
646,Nika's Pauldrons,4,16499,12001,17489
77040,Recipe: Svaard's Striders,2,2388,204,2387
1333,Devona's Gauntlets,1,8091,4386,8000
96542,Spindrift Dagger,6,4270,2338,4263
101247,Grieving Consecrated Saryx Mace,1,168994,80537,141503
86170,Superior Sigil of the Stars,11,3316,2482,3313
24567,Superior Sigil of Frailty,13,1567,1003,1559
24583,Superior Sigil of Demons,3,1141,608,1140
44989,Song of the Temptress,3,3562,2287,3196
82876,Superior Sigil of Frenzy,10,17605,12404,18942
27020,Adam,6,4952,2148,4962
100428,Viper's Abomination Rifle,1,6078,2678,6068
24703,Superior Rune of Infiltration,13,8994,6721,9899
75915,Recipe: Svaard's Visor,1,3205,32,3990
2387,Zhed's Mask,1,9861,6070,9993
2397,Tahlkora's Mask,1,4157,2567,4759
24602,Major Sigil of Battle,1,472,276,392
2024,Berserker's Seer Gloves of Rata Sum,1,3287,2781,3282
9569,18 Slot Invisible Bag,3,26718,19835,26839
96760,Spindrift Hammer,3,3855,2546,3853
2539,Zhed's Leggings,1,12526,10015,17303
97020,Jade Bot Core: Tier 7,3,198399,147184,198499
79638,Jailbroken,2,7737,4042,7741
2693,Zhed's Mantle,1,12984,10127,16760
1026,Devona's Chestguard,2,7182,5284,7794
2128,Devona's Pauldrons,1,7994,5790,8825
810,Devona's Greaves,1,10048,6736,10951
125,Nika's Coat,1,13022,10028,15447
714,Nika's Gloves,1,12048,9141,15895
208,Nika's Boots,1,15032,11814,18900
84,Zhed's Coat,1,14192,11106,15444
576,Zhed's Boots,1,19856,13491,19999
26152,Usoku's Needle,1,10084,6489,9992
87029,Avocado Smoothie,15,1343,820,936
24582,Superior Sigil of Life,8,596,378,600
72392,Recipe: Svaard's Shoulderguard,2,1775,234,1771
24548,Superior Sigil of Fire,33,1383,949,1392
24584,Superior Sigil of Benevolence,7,1241,555,1243
74268,Mini Professor Mew,12,9,4,5
70880,Recipe: Svaard's Blade,3,2277,114,2276
24560,Superior Sigil of Earth,31,1917,1501,1922
24560,Superior Sigil of Earth,8,1919,1501,1922
24560,Superior Sigil of Earth,95,1920,1501,1922
24605,Superior Sigil of Geomancy,34,523,390,547
87029,Avocado Smoothie,21,1239,820,936
24584,Superior Sigil of Benevolence,6,1240,555,1243
24560,Superior Sigil of Earth,56,1915,1501,1922
24344,Bone,178,994,813,981
24560,Superior Sigil of Earth,17,1912,1501,1922
23243,Strong Ring,1,6274,1200,6300
2403,Berserker's Seer Mask of Rage,10,2858,2068,2860
100148,Relic of Speed,1,133998,110083,145999
100916,Relic of the Thief,2,140985,121281,140988
24583,Superior Sigil of Demons,7,1139,608,1140
71254,Recipe: Svaard's Pauldrons,1,1684,105,1685
76968,Recipe: Svaard's Tassets,1,2417,100,2417
24567,Superior Sigil of Frailty,21,1568,1003,1559
24554,Superior Sigil of Air,1,1967,1550,1974
27020,Adam,9,4958,2148,4962
67181,Recipe: Superior Sigil of Cruelty,2,1278,189,1000
86170,Superior Sigil of the Stars,4,3622,2482,3313
24355,Sharp Fang,369,566,457,566
75148,Recipe: Svaard's Breeches,1,3987,192,3989
24703,Superior Rune of Infiltration,4,8990,6721,9899
86170,Superior Sigil of the Stars,2,3618,2482,3313
24567,Superior Sigil of Frailty,27,1569,1003,1559
82876,Superior Sigil of Frenzy,2,17611,12404,18942
44950,Superior Sigil of Malice,2,58492,43249,55345
43773,Quartz Crystal,250,36,32,33
100614,Relic of Evasion,1,189996,130340,189999
87076,Bowl of Poultry Satay,1,15550,14017,14018
24605,Superior Sigil of Geomancy,8,522,390,547
77316,Ghostly Infusion,1,777773,610803,779531
24350,Large Claw,250,77,68,69
20647,Ancient Silver Dye,3,2498,712,2713
97236,Spindrift Focus,1,3919,1817,3922
44947,Superior Sigil of Renewal,1,78011,62100,73186
104860,Lightborne Greatsword,2,299994,233045,299899
24562,Superior Sigil of Strength,1,68499,52590,67649
24293,Vial of Thick Blood,250,559,452,565
24281,Full Venom Sac,150,556,451,576
97204,Spindrift Torch,1,3132,2296,3133
101162,Grieving Consecrated Saryx Axe,1,147996,81000,147997
24567,Superior Sigil of Frailty,20,1572,1003,1559
102039,Berserker's Serpent's Wrath Focus,5,14462,8047,14379
96284,Saltspray Sword,29,4295,3175,4502
24578,Superior Sigil of Corruption,3,538,395,539
24286,Scale,250,746,573,737
20650,Cobalt Dye,2,5393,2594,5794
85384,Touch of Madness,6,10597,6135,10398
96542,Spindrift Dagger,2,4377,2338,4263
12753,Unidentified Purple Dye,3,175,53,167
66538,Prickly Pear Pie,1,210,200,269
2141,Koss' Pauldrons,1,2747,1813,2712
100435,Relic of the Earth,1,147956,92191,147953
96088,Memory of Aurene,18,2707,2269,2399
20530,Sage Dye,5,3799,1486,3800
48717,Aetherkey Piece,4,6,1,2
79638,Jailbroken,2,7763,4042,7741
48729,Monkshood of Dreams,1,191844,96575,201850
44941,Watchwork Sprocket,209,88,66,70
97112,Spindrift Sword,3,5190,2777,5096
86170,Superior Sigil of the Stars,1,3623,2482,3313
1339,Carrion Scallywag Gauntlets of the Afflicted,1,2321,1632,2887
81034,Magnanimous Sharpening Stone,35,583,385,593
24703,Superior Rune of Infiltration,39,9038,6721,9899
20650,Cobalt Dye,3,5392,2594,5794
20650,Cobalt Dye,2,5391,2594,5794
100311,Relic of the Ogre,2,159991,74417,159994
24560,Superior Sigil of Earth,33,1911,1501,1922
43319,Piece of Zhaitaffy,48,98,70,96
24678,Superior Sigil of Justice,6,2973,2109,3291
86170,Superior Sigil of the Stars,7,3597,2482,3313
97218,Spindrift Mace,1,5031,2102,5028
24639,Superior Sigil of Paralyzation,5,61926,47851,62547
20650,Cobalt Dye,1,5390,2594,5794
24575,Superior Sigil of Bloodlust,8,1748,1278,1689
96978,Antique Summoning Stone,3,14749,15586,15986
44950,Superior Sigil of Malice,1,58497,43249,55345
72413,Recipe: Svaard's Artifact,1,1188,170,1186
44950,Superior Sigil of Malice,1,58482,43249,55345
94411,Giver's Candy Cane Shield of Concentration,6,2549,2010,2199
100281,Viper's Abomination Shield,3,5099,3330,5396
96978,Antique Summoning Stone,1,14743,15586,15986
70772,Recipe: Svaard's Masque,1,3191,24,3191
76290,Recipe: Svaard's Wristguards,2,6588,711,5999
44950,Superior Sigil of Malice,2,58479,43249,55345
20604,Lilac Dye,2,5225,1553,4990
24471,Sunstone Nugget,110,1497,1324,1493
96542,Spindrift Dagger,3,4378,2338,4263
24655,Superior Sigil of Ogre Slaying,1,699,362,493
44950,Superior Sigil of Malice,2,58281,43249,55345
44976,Impaler,2,10197,6610,10089
2027,Zhed's Gloves,1,11898,8207,12500
398,Berserker's Sneakthief Sandals of the Grove,1,3996,3438,3536
24605,Superior Sigil of Geomancy,1,561,390,547
99293,Jolly Wintersday Gift,3,6835,6607,7703
97270,Saltspray Axe,38,4297,2532,4347
24562,Superior Sigil of Strength,4,68586,52590,67649
24639,Superior Sigil of Paralyzation,1,61923,47851,62547
24639,Superior Sigil of Paralyzation,1,61924,47851,62547
24612,Superior Sigil of Agony,4,1988,1240,1889
12745,Unidentified Purple Dye,1,283,133,367
24562,Superior Sigil of Strength,15,68049,52590,67649
2070,Berserker's Seer Gloves of Vampirism,15,2836,2154,2980
44977,Cobalt,1,5576,3435,5784
89419,Giver's Candy Cane Pistol of Concentration,6,2644,1909,2300
24582,Superior Sigil of Life,6,365,378,600
9586,18 Slot Mithril Box,7,25617,20018,25616
24723,Superior Rune of the Eagle,9,2493,1658,2469
100849,Relic of the Aristocracy,2,123985,100000,129899
24292,Vial of Blood,631,513,421,532
24341,Large Bone,250,80,66,68
24280,Venom Sac,127,490,386,494
24523,Medallion of the Soldier,28,162,139,140
75148,Recipe: Svaard's Breeches,2,3989,192,3989
74328,Leaf Fossil,500,39,19,23
19731,Rugged Leather Section,5,156,115,155
50082,Powerful Potion of Slaying Scarlet's Armies,50,354,247,344
92711,Fine Black Lion Dye Canister—Green,1,1823,1427,1524
87329,Holographic Super Drumstick,25,1200,970,1212
76135,Bowl of Prickly Pear Tapioca Pudding,3,212,141,240
83757,Congealed Putrescence,250,16,5,7
85384,Touch of Madness,2,10692,6135,10398
46686,Rabid Orichalcum Imbued Inscription,1,130,,126
27485,Deathwish,2,4651,2345,4099
44989,Song of the Temptress,1,3560,2287,3196
24532,Crest of the Rabid,1,1260,1144,1145
77604,Wintersday Gift,1,499,336,403
45151,Errol's Mask,1,4099,3359,3897
24524,Crest of the Soldier,2,1248,1163,1183
24732,Superior Rune of Divinity,15,5692,4014,4925
26106,Strong Iron Mace of Chilling,1,1088,393,1085
36041,Piece of Candy Corn,500,55,47,55
24518,Crest of the Magi,3,1237,1137,1193
81701,Queen Bee Infusion,1,35199997,29000015,35509898
74202,Barbed Thorn,250,38,36,44
66538,Prickly Pear Pie,1,307,200,269
20323,Unidentified Dye,1,399,401,479
86997,Plate of Beef Rendang,1,1213,1672,2429
46711,Magi's Intricate Gossamer Insignia,1,6919,5206,7035
38135,Flawless Snowflake,18,1993,1801,1850
82582,Sliver of Twitching Forgemetal,12,38,,38
27007,Mojo,1,2705,2099,2400
24298,Totem,107,474,401,494
99293,Jolly Wintersday Gift,3,5243,6607,7703
20647,Ancient Silver Dye,1,2496,712,2713
103530,Kodan Cache Key,2,1080,800,1067
96467,Jade Bot Core: Tier 6,1,149799,119596,148999
91768,Varietal Clove Seed,125,71,,79
95634,Crucible,3,5455,3052,5439
24511,Chrysocola Crystal,1,177,144,150
96679,Saltspray Shield,1,2936,2185,2694
20480,Gold Dye,3,114,75,109
28266,Bow of the White Hart,1,2845,2148,2846
85384,Touch of Madness,1,10193,6135,10398
24517,Medallion of the Magi,8,173,138,139
24517,Medallion of the Magi,4,145,138,139
24531,Medallion of the Rabid,8,142,141,143
24531,Medallion of the Rabid,10,143,141,143
24476,Medallion of the Shaman,7,154,138,139
24476,Medallion of the Shaman,15,153,138,139
24523,Medallion of the Soldier,7,154,139,140
24523,Medallion of the Soldier,4,151,139,140
102558,Honey Flower,13,660,532,617
44964,Entropy,2,16597,9628,14059
76968,Recipe: Svaard's Tassets,1,2419,100,2417
21683,Valuable Metal Scrap,1,47,39,47
87029,Avocado Smoothie,62,1344,820,936
24723,Superior Rune of the Eagle,3,2686,1658,2469
24524,Crest of the Soldier,2,1235,1163,1183
73586,Recipe: Svaard's Guise,1,3476,495,2407
79638,Jailbroken,1,7819,4042,7741
97339,Jade Bot Core: Tier 1,2,13396,8398,11996
87029,Avocado Smoothie,2,1337,820,936
24349,Sharp Claw,135,551,458,574
24678,Superior Sigil of Justice,1,3083,2109,3291
24524,Crest of the Soldier,1,1200,1163,1183
97339,Jade Bot Core: Tier 1,35,13398,8398,11996
89140,Lucent Mote,71,141,120,121
47088,Bite of the Ebon Viper,1,2985,2047,2829
89140,Lucent Mote,138,138,120,121
44950,Superior Sigil of Malice,1,58565,43249,55345
86269,Powdered Rose Quartz,116,109,79,92
24515,Emerald Orb,1,1320,1150,1227
2539,Zhed's Leggings,4,15998,10015,17303
1333,Devona's Gauntlets,1,8096,4386,8000
49432,+9 Agony Infusion,1,50563,43209,50733
44969,Lord Taeres's Shadow,6,49996,35376,49999
96542,Spindrift Dagger,4,4379,2338,4263
24618,Superior Sigil of Accuracy,2,5997,4811,5899
95634,Crucible,3,5456,3052,5439
24612,Superior Sigil of Agony,7,1899,1240,1889
24282,Potent Venom Sac,250,70,66,68
24455,Skritt Artifact,3,1704,1686,2791
44976,Impaler,5,10299,6610,10089
24607,Superior Sigil of Energy,1,7411,5679,7411
12143,Egg,31,187,218,221
24294,Vial of Potent Blood,250,136,111,112
24865,Superior Sigil of Celerity,1,53812,41600,58379
89999,Superior Rune of Fireworks,6,27882,21928,29994
49432,+9 Agony Infusion,1,50562,43209,50733
2070,Berserker's Seer Gloves of Vampirism,10,2725,2154,2980
75919,Fractal Encryption,500,2179,1989,2279
24601,Superior Sigil of Battle,1,892,558,917
24354,Fang,390,836,704,889
24496,Exquisite Chrysocola Jewel,2,5811,2674,5779
24275,Pile of Luminous Dust,47,1361,1090,1309
24345,Heavy Bone,47,962,729,749
12544,Ghost Pepper,128,203,168,178
24615,Superior Sigil of Force,1,34982,31000,34996
100092,Viper's Abomination Short Bow,1,31491,20960,30841
49432,+9 Agony Infusion,1,50569,43209,50733
9569,18 Slot Invisible Bag,3,26823,19835,26839
27020,Adam,2,5140,2148,4962
24723,Superior Rune of the Eagle,22,2693,1658,2469
100474,Viper's Abomination Mace,1,25493,15949,24333
44960,Bonetti's Rapier,3,64897,42302,58704
24762,Superior Rune of the Krait,4,34130,25703,34374
24756,Superior Rune of the Ogre,5,43946,31811,43758
66993,Grow Lamp,1,199998,166637,199886
20480,Gold Dye,1,115,75,109
87029,Avocado Smoothie,1,1107,820,936
9591,20 Slot Orichalcum Box,5,127761,100369,126999
97781,Saltspray Staff,18,3158,2258,3157
49432,+9 Agony Infusion,2,50572,43209,50733
96760,Spindrift Hammer,1,3864,2546,3853
2555,Berserker's Seer Pants of Grenth,1,2961,2092,2777
25964,Jaws of Death,19,2947,1905,2399
101963,Berserker's Serpent's Wrath Pistol,9,22813,12273,23128
44985,Crystal Guardian,6,9999,6714,9995
87329,Holographic Super Drumstick,15,1194,970,1212
44977,Cobalt,5,4798,3435,5784
96542,Spindrift Dagger,1,4388,2338,4263
97112,Spindrift Sword,2,5196,2777,5096
100866,Viper's Abomination Staff,2,44081,29022,43529
96542,Spindrift Dagger,1,4386,2338,4263
96760,Spindrift Hammer,4,3861,2546,3853
77119,Recipe: Svaard's Wand,2,1264,64,1199
1858,Devona's Legplates,2,9408,6156,9391
24756,Superior Rune of the Ogre,1,43979,31811,43758
100092,Viper's Abomination Short Bow,1,31495,20960,30841
24533,Crest of the Shaman,3,1289,1142,1143
49424,+1 Agony Infusion,1349,31,19,24
70772,Recipe: Svaard's Masque,2,3193,24,3191
714,Nika's Gloves,2,13486,9141,15895
24703,Superior Rune of Infiltration,12,8405,6721,9899
1026,Devona's Chestguard,4,7788,5284,7794
1858,Devona's Legplates,1,9407,6156,9391
2128,Devona's Pauldrons,5,8514,5790,8825
1637,Devona's Helm,4,10002,5676,8885
27020,Adam,2,5350,2148,4962
96284,Saltspray Sword,3,4294,3175,4502
1026,Devona's Chestguard,1,7686,5284,7794
96978,Antique Summoning Stone,5,15416,15586,15986
100054,Viper's Abomination Torch,2,71108,50252,71108
1333,Devona's Gauntlets,1,8702,4386,8000
24723,Superior Rune of the Eagle,1,2707,1658,2469
24723,Superior Rune of the Eagle,6,2708,1658,2469
9491,15 Slot Invisible Bag,1,12769,7764,12394
49431,+8 Agony Infusion,1,27475,21724,27200
9591,20 Slot Orichalcum Box,2,127762,100369,126999
2027,Zhed's Gloves,2,10605,8207,12500
810,Devona's Greaves,3,11074,6736,10951
1637,Devona's Helm,1,9999,5676,8885
100947,Relic of Fireworks,2,134586,111006,130000
84,Zhed's Coat,2,15147,11106,15444
20323,Unidentified Dye,1,438,401,479
576,Zhed's Boots,3,17896,13491,19999
9586,18 Slot Mithril Box,5,25610,20018,25616
125,Nika's Coat,1,13075,10028,15447
9569,18 Slot Invisible Bag,2,26825,19835,26839
101968,Berserker's Serpent's Wrath Rifle,1,10142,5714,10509
27020,Adam,15,5346,2148,4962
24639,Superior Sigil of Paralyzation,5,64055,47851,62547
66524,Nopal,73,19,,11
87076,Bowl of Poultry Satay,1,14985,14017,14018
44990,Razah's Nightmare,1,539999,450037,536638
576,Zhed's Boots,3,14519,13491,19999
208,Nika's Boots,2,16759,11814,18900
2387,Zhed's Mask,1,9783,6070,9993
84,Zhed's Coat,1,11637,11106,15444
24865,Superior Sigil of Celerity,1,53011,41600,58379
208,Nika's Boots,1,16757,11814,18900
1333,Devona's Gauntlets,1,8701,4386,8000
24723,Superior Rune of the Eagle,2,2405,1658,2469
810,Devona's Greaves,1,11076,6736,10951
84,Zhed's Coat,1,10821,11106,15444
27485,Deathwish,1,4661,2345,4099
86378,Corsair Sharpening Stone,138,110,,105
24675,Superior Sigil of Smothering,17,402,540,953
95710,Saltspray Dagger,24,3962,2530,4042
70772,Recipe: Svaard's Masque,1,3192,24,3191
